a	@
beck	bh e k
becks	bh e k s
beck's	bh e k s
bed	bh e d
bede	bh i: d
beds	bh e d z
bee	bh i:
beech	bh i: tS
beeck	bh i: k
beef	bh i: f
beefed	bh i: f t
beefs	bh i: f s
beek	bh i: k
been	bh I n
beens	bh I n z
beep	bh i: p
beeps	bh i: p s
beer	bh I@
beers	bh I@ z
beer's	bh I@ z
bees	bh i: z
bee's	bh i: z
beet	bh i: t
beets	bh i: t s
beg	bh e g
begged	bh e g d
beggs	bh e g z
begs	bh e g z
behl	bh e l
behlke	bh e l k
behm	bh e m
behn	bh e n
beige	bh eI Z
bein	bh i: n
beirne	bh I@ n
beitz	bh i: t s
bel	bh e l
belch	bh e l tS
belched	bh e l tS t
belk	bh e l k
bell	bh e l
belle	bh e l
belles	bh e l z
bells	bh e l z
bell's	bh e l z
bels	bh e l z
belt	bh e l t
belts	bh e l t s
belt's	bh e l t s
bem	bh e m
ben	bh e n
bench	bh e n tS
bend	bh e n d
bends	bh e n d z
benge	bh e n dZ
bengt	bh e N k t
benn	bh e n
benne	bh e n
bens	bh e n z
ben's	bh e n z
bent	bh e n t
benz	bh e n z
bere	bh I@
beres	bh i: r z
berg	bh @r g
bergh	bh @r g
bergs	bh @r g z
berg's	bh @r g z
berk	bh @r k
berke	bh @r k
berle	bh @r l
berm	bh @r m
bern	bh @r n
berne	bh @r n
berns	bh @r n z
bernt	bh @r n t
bert	bh @r t
berte	bh @r t
berth	bh @r T
berths	bh @r T s
bertsche	bh @r tS
bes	bh i: z
bess	bh e s
besse	bh e s
best	bh e s t
best's	bh e s t s
bet	bh e t
beth	bh e T
bets	bh e t s
bet's	bh e t s
bett	bh e t
betz	bh e t s
bev	bh e v
bey	bh eI
bhatt	bh { t
bi	bh aI
bib	bh I b
bibb	bh I b
bibbs	bh I b z
bibs	bh I b z
bic	bh I k
bice	bh aI s
bick	bh I k
bid	bh I d
bide	bh aI d
bids	bh I d z
bid's	bh I d z
biel	bh i: l
bien	bh i: n
bier	bh i: r
bierce	bh I@ s
biers	bh i: r z
biff	bh I f
big	bh I g
biggs	bh I g z
bigs	bh I g z
bike	bh aI k
biked	bh aI k t
bikes	bh aI k s
bil	bh I l
bile	bh aI l
biles	bh aI l z
bilk	bh I l k
bilked	bh I l k t
bill	bh I l
bille	bh aI l
billed	bh I l d
bills	bh I l z
bill's	bh I l z
bin	bh I n
bind	bh aI n d
binds	bh aI n d z
bines	bh aI n z
bing	bh I N
binge	bh I n dZ
bink	bh I N k
bins	bh I n z
birch	bh @r tS
bird	bh @r d
birds	bh @r d z
bird's	bh @r d z
birk	bh @r k
birks	bh @r k s
birle	bh @r l
birr	bh @r
birt	bh @r t
birth	bh @r T
